rank,label,exact_rows,exact_safe_amounts,numeric_mismatches,absolute_safe_error,status_exact,method_exact,plan_exact,earliest_exact,optimistic,pessimistic
75,"chronology=A1;debit_amount=max;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8543162.64,20,23,19,13,21,0
76,"chronology=A2;debit_amount=max;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,8543162.64,20,23,19,13,21,0
77,"chronology=A1;debit_amount=latest;credit_amount=latest;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9755860.01,20,23,19,13,21,0
78,"chronology=A2;debit_amount=latest;credit_amount=latest;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9755860.01,20,23,19,13,21,0
79,"chronology=A1;debit_amount=latest;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9761510.44,20,23,19,13,21,0
80,"chronology=A2;debit_amount=latest;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9761510.44,20,23,19,13,21,0
81,"chronology=A1;debit_amount=median;credit_amount=latest;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9998200.24,20,23,19,13,21,0
82,"chronology=A2;debit_amount=median;credit_amount=latest;consistent_intervals=3;fixed_tolerance=4;monthly_range=(26, 33);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,9998200.24,20,23,19,13,21,0
83,"chronology=A1;debit_amount=median;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,10003280.80,20,23,19,13,21,0
84,"chronology=A2;debit_amount=median;credit_amount=latest;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=False;periods=2;period_estimator=latest;phase=latest",3,4,21,10003280.80,20,23,19,13,21,0
85,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=latest",3,4,21,5842532.09,17,18,18,18,11,10
86,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=median",3,4,21,5842532.09,17,18,18,18,11,10
87,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=earliest",3,4,21,5842532.09,17,18,18,18,11,10
88,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=latest",3,4,21,5842532.09,17,18,18,18,11,10
89,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=median",3,4,21,5842532.09,17,18,18,18,11,10
90,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=4;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=earliest",3,4,21,5842532.09,17,18,18,18,11,10
91,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=latest",3,4,21,5847095.53,17,18,18,18,11,10
92,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=median",3,4,21,5847095.53,17,18,18,18,11,10
93,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=median;phase=earliest",3,4,21,5847095.53,17,18,18,18,11,10
94,"chronology=A0;debit_amount=median;credit_amount=median;consistent_intervals=3;fixed_tolerance=3;monthly_range=(27, 32);shortfall=True;periods=2;period_estimator=mean;phase=latest",3,4,21,5847095.53,17,18,18,18,11,10
